authors,year,name,cites,content
"M Woo, SK Cha, S Gottlieb, D Brumley",2013,Scheduling black box mutational fuzzing,106,"Black box mutational fuzzing is a simple yet effective technique to find bugs in software. Given a set of program seed pairs, we ask how to schedule the fuzzings of these pairs in order to maximize the number of unique bugs found at any point in time. We develop an analytic framework using a mathematical model of black box mutational fuzzing and use it to evaluate 26 existing and new randomized online scheduling algorithms. Our experiments show that one of our new scheduling algorithms outperforms the multi armed bandit algorithm in the current version of the CERT Basic Fuzzing Framework  BFF  by finding 1.5x more unique bugs in the same amount of time."
"Y Tian, D Lo, C Sun",2012,Information retrieval based nearest neighbor classification for fine grained bug severity prediction,126,"Bugs are prevalent in software systems. Some bugs are critical and need to be fixed right away, whereas others are minor and their fixes could be postponed until resources are available. In this work, we propose a new approach leveraging information retrieval, in particular BM25 based document similarity function, to automatically predict the severity of bug reports. Our approach automatically analyzes bug reports reported in the past along with their assigned severity labels, and recommends severity labels to newly reported bug reports. Duplicate bug reports are utilized to determine what bug report features, be it textual, ordinal, or categorical, are important. We focus on predicting fine grained severity labels, namely the different severity labels of Bugzilla including: blocker, critical, major, minor, and trivial. Compared to the existing state of the art study on fine grained severity prediction, namely the work by Menzies and Marcus, our approach brings significant improvement."
"G Catolino, F Palomba, A Zaidman ",2019,"Not all bugs are the same: Understanding, characterizing, and classifying bug types",4," A novel taxonomy of type of bugs composed of 9 categories. Analysis of the performance of a bug type classification model. A new public dataset composed of 1280 bug reports extracted from 119 projects. Results show high value of F Measure and AUC ROC  64  and 74 , respectively . A novel taxonomy of type of bugs composed of 9 categories. Analysis of the performance of a bug type classification model. A new public dataset composed of 1280 bug reports extracted from 119 projects. Results show high value of F Measure and AUC ROC  64  and 74 , respectively . Modern version control systems, e.g., GitHub, include bug tracking mechanisms that developers can use to highlight the presence of bugs. This is done by means of bug reports, i.e., textual descriptions reporting the problem and the steps that led to a failure. In past and recent years, the research community deeply investigated methods for easing bug triage, that is, the process of assigning the fixing of a reported bug to the most qualified developer. Nevertheless, only a few studies have reported on how to support developers in the process of understanding the type of a reported bug, which is the first and most time consuming step to perform before assigning a bug fix operation. In this paper, we target this problem in two ways: first, we analyze 1280 bug reports of 119 popular projects belonging to three ecosystems such as Mozilla, Apache, and Eclipse, with the aim of building a taxonomy of the types of reported bugs  then, we devise and evaluate an automated classification model able to classify reported bugs according to the defined taxonomy. As a result, we found nine main common bug types over the considered systems. Moreover, our model achieves high F Measure and AUC ROC  64  and 74  on overall, respectively ."
"DC Das, MR Rahman",2018,Security and Performance Bug Reports Identification with Class Imbalance Sampling and Feature Selection,0,"Nowadays, software projects receive a huge number of bug reports daily. Among them, security and performance bug reports are higher priority to software developers and users. So, rapid identification of security and performance bug reports as soon as these are reported is mandatory. But bug tracking systems do not provide any mechanism to isolate them from the collection of bug reports. In this paper, we have proposed a learning based approach to identify security and performance bug reports addressing class bias and feature skew phenomenon. We have proposed two separate classification models namely Sec Model and Perf Model, where the former classifies a bug report as security or non security bug report and the latter classifies as performance or non performance bug report. We have experimented our approach on four datasets of bug reports of four software projects  Ambari, Camel, Derby and Wicket. We have evaluated the performance of our two models in terms of area under curve receiver operating characteristics curve  AUC . The average AUC values of Sec Model and Perf Model are 0.67 and 0.71 respectively."
"E Murphy Hill, T Zimmermann, C Bird ",2014,The design space of bug fixes and how developers navigate it,40,"When software engineers fix bugs, they may have several options as to how to fix those bugs. Which fix they choose has many implications, both for practitioners and researchers: What is the risk of introducing other bugs during the fix? Is the bug fix in the same code that caused the bug? Is the change fixing the cause or just covering a symptom? In this paper, we investigate alternative fixes to bugs and present an empirical study of how engineers make design choices about how to fix bugs. We start with a motivating case study of the Pex4Fun environment. Then, based on qualitative interviews with 40 engineers working on a variety of products, data from six bug triage meetings, and a survey filled out by 326 Microsoft engineers and 37 developers from other companies, we found a number of factors, many of them non technical, that influence how bugs are fixed, such as how close to release the software is. We also discuss implications for research and practice, including how to make bug prediction and localization more accurate."
"L Yu, C Kong, L Xu, J Zhao, HH Zhang",2008,Mining bug classifier and debug strategy association rules for web based applications,6,"The paper uses data mining approaches to classify bug types and excavate debug strategy association rules for Web based applications. Chi square algorithm is used to extract bug features, and SVM to model bug classifier achieving more than 70  predication accuracy on average. Debug strategy association rules accumulate bug fixing knowledge and experiences regarding to typical bug types, and can be applied repeatedly, thus improving the bug fixing efficiency. With 575 training data, three debug strategy association rules are unearthed."
"S Lal, A Sureka",2012,Comparison of seven bug report types: A case study of google chrome browser project,17,"Bug reports submitted to an issue tracking system can belong to different categories such as crash, regression, security, cleanup, polish, performance and usability. A deeper understanding of the properties and features of various categories of bug reports can have implications in improving software maintenance processes, tools and practices. We identify several metrics and characteristics serving as dimensions on which various types of bug reports can be compared. We perform a case study on Google Chromium Browser open source project and conduct a series of experiments to calculate various metrics. We present a characterization study comparing different types of bug reports on metrics such as: statistics on close time, number of stars, number of comments, discriminatory and frequent words for each class, entropy across reporters, entropy across component, opening and closing trend, continuity and debugging efficiency performance characteristics. The calculated metrics shows the similarities and differences on various dimensions for seven different types of bug reports."
"N Ayewah, W Pugh, JD Morgenthaler, J Penix ",2007,Using findbugs on production software,65,"This poster will present our experiences using FindBugs in production software development environments, including both open source efforts and Google s internal code base. We summarize the defects found, describe the issue of real but trivial defects, and discuss the integration of FindBugs into Google s Mondrian code review system."
"J Tong, L Ying, Y Xiaoyong, T Hongyan ",2015,Characterizing and predicting bug assignment in openstack,3,"Open source software is becoming increasingly important in cloud computing. However, many cloud computing systems suffer from software bugs that cause significant dependability issues. Bug assignment and fixing are crucial parts of software maintenance to improve dependability. In this paper, we conduct an empirical study of 42,880 bug reports from OpenStack bug repository. We study the characteristics  e.g., distribution of bugs, distribution of assignees  of bug assignments in OpenStack and find the bug assignment pattern which we call as long tail. The findings can support the follow up research on improving efficiency of bug assignment, that is, we propose a prediction method based on long tail model, and experimentally evaluate this method by applying it to OpenStack bug assignment."
"M Ohira, Y Kashiwa, Y Yamatani ",2015,A dataset of high impact bugs: Manually classified issue reports,27,"The importance of supporting test and maintenance activities in software development has been increasing, since recent software systems have become large and complex. Although in the field of Mining Software Repositories  MSR  there are many promising approaches to predicting, localizing, and triaging bugs, most of them do not consider impacts of each bug on users and developers but rather treat all bugs with equal weighting, excepting a few studies on high impact bugs including security, performance, blocking, and so forth. To make MSR techniques more actionable and effective in practice, we need deeper understandings of high impact bugs. In this paper we introduced our dataset of high impact bugs which was created by manually reviewing four thousand issue reports in four open source projects  Ambari, Camel, Derby and Wicket ."
"R Vieira, A da Silva, L Rocha, JP Gomes",2019,From Reports to Bug Fix Commits: A 10 Years Dataset of Bug Fixing Activity from 55 Apache s Open Source Projects,0,"Bugs appear in almost any software development. Solving all or at least a large part of them requires a great deal of time, effort, and budget. Software projects typically use issue tracking systems as a way to report and monitor bug fixing tasks. In recent years, several researchers have been conducting bug tracking analysis to better understand the problem and thus provide means to reduce costs and improve the efficiency of the bug fixing task. In this paper, we introduce a new dataset composed of more than 70,000 bug fix reports from 10 years of bug fixing activity of 55 projects from the Apache Software Foundation, distributed in 9 categories. We have mined this information from Jira issue track system concerning two different perspectives of reports with closed resolved status: static  the latest version of reports  and dynamic  the changes that have occurred in reports over time . We also extract information from the commits  if they exist  that fix such bugs from their respective version control system  Git . We also provide a change analysis that occurs in the reports as a way of illustrating and characterizing the proposed dataset. Once the data extraction process is an error prone nontrivial task, we believe such initiatives like this could be useful to support researchers in further more detailed investigations."
"T Zimmermann, N Nagappan, PJ Guo ",2012,Characterizing and predicting which bugs get reopened,132,"Fixing bugs is an important part of the software development process. An underlying aspect is the effectiveness of fixes: if a fair number of fixed bugs are reopened, it could indicate instability in the software system. To the best of our knowledge there has been on little prior work on understanding the dynamics of bug reopens. Towards that end, in this paper, we characterize when bug reports are reopened by using the Microsoft Windows operating system project as an empirical case study. Our analysis is based on a mixed methods approach. First, we categorize the primary reasons for reopens based on a survey of 358 Microsoft employees. We then reinforce these results with a large scale quantitative study of Windows bug reports, focusing on factors related to bug report edits and relationships between people involved in handling the bug. Finally, we build statistical models to describe the impact of various metrics on reopening bugs ranging from the reputation of the opener to how the bug was found."
"F Thung, D Lo, L Jiang, F Rahman ",2012,To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools,32,"Software defects can cause much loss. Static bug finding tools are believed to help detect and remove defects. These tools are designed to find programming errors  but, do they in fact help prevent actual defects that occur in the field and reported by users? If these tools had been used, would they have detected these field defects, and generated warnings that would direct programmers to fix them? To answer these questions, we perform an empirical study that investigates the effectiveness of state of the art static bug finding tools on hundreds of reported and fixed defects extracted from three open source programs: Lucene, Rhino, and AspectJ. Our study addresses the question: To what extent could field defects be found and detected by state of the art static bug finding tools? Different from past studies that are concerned with the numbers of false positives produced by such tools, we address an orthogonal issue on the numbers of false negatives. We find that although many field defects could be detected by static bug finding tools, a substantial proportion of defects could not be flagged. We also analyze the types of tool warnings that are more effective in finding field defects and characterize the types of missed defects."
"BB Madan, K Go eva Popstojanova ",2004,A method for modeling and quantifying the security attributes of intrusion tolerant systems,329,"Complex software and network based information server systems may exhibit failures. Quite often, such failures may not be accidental. Instead some failures may be caused by deliberate security intrusions with the intent ranging from simple mischief, theft of confidential information to loss of crucial and possibly life saving services. Not only it is important to prevent and or tolerate security intrusions, it is equally important to treat security as a QoS attribute at par with other QoS attributes such as availability and performance. This paper deals with various issues related to quantifying the security attributes of an intrusion tolerant system, such as the SITAR system. A security intrusion and the response of an intrusion tolerant system to an attack is modeled as a random process. This facilitates the use of stochastic modeling techniques to capture the attacker behavior as well as the system s response to a security intrusion. This model is used to analyze and quantify the security attributes of the system. The security quantification analysis is first carried out for steady state behavior leading to measures like steady state availability. By transforming this model to a model with absorbing states, we compute a security measure called the  mean time  or effort  to security failure   MTTSF  and also compute probabilities of security failure due to violations of different security attributes."
"PJ Guo, T Zimmermann, N Nagappan ",2010,Characterizing and predicting which bugs get fixed: an empirical study of Microsoft Windows,243,"We performed an empirical study to characterize factors that affect which bugs get fixed in Windows Vista and Windows 7, focusing on factors related to bug report edits and relationships between people involved in handling the bug. We found that bugs reported by people with better reputations were more likely to get fixed, as were bugs handled by people on the same team and working in geographical proximity. We reinforce these quantitative results with survey feedback from 358 Microsoft employees who were involved in Windows bugs. Survey respondents also mentioned additional qualitative influences on bug fixing, such as the importance of seniority and interpersonal skills of the bug reporter. Informed by these findings, we built a statistical model to predict the probability that a new bug will be fixed  the first known one, to the best of our knowledge . We trained it on Windows Vista bugs and got a precision of 68  and recall of 64  when predicting Windows 7 bug fixes. Engineers could use such a model to prioritize bugs during triage, to estimate developer workloads, and to decide which bugs should be closed or migrated to future product versions."
"T Zimmermann, R Premraj, N Bettenburg ",2010,What makes a good bug report?,201,"In software development, bug reports provide crucial information to developers. However, these reports widely differ in their quality. We conducted a survey among developers and users of APACHE, ECLIPSE, and MOZILLA to find out what makes a good bug report. The analysis of the 466 responses revealed an information mismatch between what developers need and what users supply. Most developers consider steps to reproduce, stack traces, and test cases as helpful, which are, at the same time, most difficult to provide for users. Such insight is helpful for designing new bug tracking tools that guide users at collecting and providing more helpful information. Our CUEZILLA prototype is such a tool and measures the quality of new bug reports  it also recommends which elements should be added to improve the quality. We trained CUEZILLA on a sample of 289 bug reports, rated by developers as part of the survey. The participants of our survey also provided 175 comments on hurdles in reporting and resolving bugs. Based on these comments, we discuss several recommendations for better bug tracking systems, which should focus on engaging bug reporters, better tool support, and improved handling of bug duplicates."
"TH Chen, M Nagappan, E Shihab ",2014,An empirical study of dormant bugs,45," Over the past decade, several research efforts have studied the quality of software systems by looking at post release bugs. However, these studies do not account for bugs that remain dormant  i.e., introduced in a version of the software system, but are not found until much later  for years and across many versions. Such dormant bugs skew our under  standing of the software quality. In this paper we study dormant bugs against non dormant bugs using data from 20 different open source Apache foundation software systems. We find that 33  of the bugs introduced in a version are not reported till much later  i.e., they are reported in future versions as dormant bugs . Moreover, we find that 18.9  of the reported bugs in a version are not even introduced in that version  i.e., they are dormant bugs from prior versions . In short, the use of reported bugs to judge the quality of a specific version might be misleading. Exploring the fix process for dormant bugs, we find that they are fixed faster  median fix time of 5 days  than non  dormant bugs  median fix time of 8 days , and are fixed by more experienced developers  median commit counts of developers who fix dormant bug is 169  higher . Our results highlight that dormant bugs are different from non dormant bugs in many perspectives and that future research in software quality should carefully study and consider dormant bugs. "
"BS Neysiani, SM Babamir",2019,Improving Performance of Automatic Duplicate Bug Reports Detection using Longest Common Sequence: Introducing New Textual Features for Textual Similarity  ,0,"Automatic duplicate bug reports detection is a famous problem in mining software repositories since 2004 for software triage systems e.g. Bugzilla. Textual features are the most important type of features in similarity and duplicate detection e.g. BM25F which indicate the common term frequency in two reports. Sometimes a common sequence can show more similarity in two texts, thus new features based on longest common sequence  LCS  of two bug reports proposed in this paper as new textual features for text similarity detection. Android, Eclipse, Mozilla, and Open Office dataset are used for evaluation of proposed features and the experimental results show LCS based features are important and the accuracy, precision and recall of classifier prediction models improved 4.5, 2.5 and 2.5 percent respectively on average after using LCS and get up to 96, 98 and 97 percent respectively on average using different classifiers."
"C Le Goues, M Dewey Vogt, S Forrest ",2012,A systematic study of automated program repair: Fixing 55 out of 105 bugs for  8 each,448,"There are more bugs in real world programs than human programmers can realistically address. This paper evaluates two research questions:  What fraction of bugs can be repaired automatically?  and  How much does it cost to repair a bug automatically?  In previous work, we presented GenProg, which uses genetic programming to repair defects in off the shelf C programs. To answer these questions, we:  1  propose novel algorithmic improvements to GenProg that allow it to scale to large programs and find repairs 68  more often,  2  exploit GenProg s inherent parallelism using cloud computing resources to provide grounded, human competitive cost measurements, and  3  generate a large, indicative benchmark set to use for systematic evaluations. We evaluate GenProg on 105 defects from 8 open source programs totaling 5.1 million lines of code and involving 10,193 test cases. GenProg automatically repairs 55 of those 105 defects. To our knowledge, this evaluation is the largest available of its kind, and is often two orders of magnitude larger than previous work in terms of code or test suite size or defect count. Public cloud computing prices allow our 105 runs to be reproduced for  403  a successful repair completes in 96 minutes and costs  7.32, on average."
"SS Alqahtani, J Rilling",2017,An ontology based approach to automate tagging of software artifacts,3,"Context: Software engineering repositories contain a wealth of textual information such as source code comments, developers  discussions, commit messages and bug reports. These free form text descriptions can contain both direct and implicit references to security concerns. Goal: Derive an approach to extract security concerns from textual information that can yield several benefits, such as bug management  e.g., prioritization , bug triage or capturing zero day attack. Method: Propose a fully automated classification and tagging approach that can extract security tags from these texts without the need for manual training data. Results: We introduce an ontology based Software Security Tagger Framework that can automatically identify and classify cybersecurity related entities, and concepts in text of software artifacts. Conclusion: Our preliminary results indicate that the framework can successfully extract and classify cybersecurity knowledge captured in unstructured text found in software artifacts."
"J Zhu, M Zhou, H Mei",2016,Multi extract and multi level dataset of mozilla issue tracking history,7,"Many studies analyze issue tracking repositories to understand and support software development. To facilitate the analyses, we share a Mozilla issue tracking dataset covering a 15 year history. The dataset includes three extracts and multiple levels for each extract. The three extracts were retrieved through two channels, a front end  web user interface  UI , and a back end  official database dump  of Mozilla Bugzilla at three different times. The variations  dynamics  among extracts provide space for researchers to reproduce and validate their studies, while revealing potential opportunities for studies that otherwise could not be conducted. We provide different data levels for each extract ranging from raw data to standardized data as well as to the calculated data level for targeting specific research questions. Data retrieving and processing scripts related to each data level are offered too. By employing the multi level structure, analysts can more efficiently start an inquiry from the standardized level and easily trace the data chain when necessary  e.g., to verify if a phenomenon reflected by the data is an actual event . We applied this dataset to several published studies and intend to expand the multi level and multi extract feature to other software engineering datasets."
"A Marcus, T Menzies",2010,Software is data too,30,"Software systems are designed and engineered to process data. However, software is data too. The size and variety of today s software artifacts and the multitude of stakeholder activities result in so much data that individuals can no longer reason about all of it. We argue in this position paper that data mining, statistical analysis, machine learning, information retrieval, data integration, etc., are necessary solutions to deal with software data. New research is needed to adapt existing algorithms and tools for software engineering data and processes, and new ones will have to be created. In order for this type of research to succeed, it should be supported with new approaches to empirical work, where data and results are shared globally among researchers and practitioners. Software engineering researchers can get inspired by other fields, such as, bioinformatics, where results of mining and analyzing biological data are often stored in databases shared across the world."
"PS Kochhar, F Thung, D Lo",2014,Automatic fine grained issue report reclassification,22,"Issue tracking systems are valuable resources during software maintenance activities. These systems contain different categories of issue reports such as bug, request for improvement  RFE , documentation, refactoring, task etc. While logging issue reports into a tracking system, reporters can indicate the category of the reports. Herzig et al. Recently reported that more than 40  of issue reports are given wrong categories in issue tracking systems. Among issue reports that are marked as bugs, more than 30  of them are not bug reports. The misclassification of issue reports can adversely affects developers as they then need to manually identify the categories of various issue reports. To address this problem, in this paper we propose an automated technique that reclassifies an issue report into an appropriate category. Our approach extracts various feature values from a bug report and predicts if a bug report needs to be reclassified and its reclassified category. We have evaluated our approach to reclassify more than 7,000 bug reports from HTTP Client, Jackrabbit, Lucene Java, Rhino, and Tomcat 5 into 1 out of 13 categories. Our experiments show that we can achieve a weighted precision, recall, and F1  F measure  score in the ranges of 0.58 0.71, 0.61 0.72, and 0.57 0.71 respectively. In terms of F1, which is the harmonic mean of precision and recall, our approach can substantially outperform several baselines by 28.88 416.66 ."
"A Begel, B Simon",2008,"Novice software developers, all over again",172,"Transitions from novice to expert often cause stress and anxiety and require specialized instruction and support to enact efficiently. While many studies have looked at novice computer science students, very little research has been conducted on professional novices. We conducted a two month in situ qualitative case study of new software developers in their first six months working at Microsoft. We shadowed them in all aspects of their jobs: coding, debugging, designing, and engaging with their team, and analyzed the types of tasks in which they engage. We can explain many of the behaviors revealed by our analyses if viewed through the lens of newcomer socialization from the field of organizational man agement. This new perspective also enables us to better understand how current computer science pedagogy prepares students for jobs in the software industry. We consider the implications of this data and analysis for developing new processes for learning in both university and industrial settings to help accelerate the transition from novice to expert software developer."
"D Baca, B Carlsson",2011,Agile development with security engineering activities,61,"Agile software development has been used by industry to create a more flexible and lean software development process, i.e making it possible to develop software at a faster rate and with more agility during development. There are however concerns that the higher development pace and lack of documentation are creating less secure software. We have therefore looked at three known Security Engineering processes, Microsoft SDL, Cigatel touchpoints and Common Criteria and identified what specific security activities they performed. We then compared these activities with an Agile development process that is used in industry. Developers, from a large telecommunication manufacturer, were interviewed to learn their impressions on using these security activities in an agile development process. We produced a security enhanced Agile development process that we present in this paper. This new Agile process use activities from already established security engineering processes that provide the benefit the developers wanted but did not hinder or obstruct the Agile process in a significant way."
"R Mart , S Robles, A Mart n Campillo ",2009,Providing early resource allocation during emergencies: The mobile triage tag,78,"Quick response is critical during an emergency situation. This paper describes a system based on mobile electronic triage tags that makes victim information available at the base of operations as soon as possible, thus allowing an early medical resource allocation and immediate action. The cornerstone of the system is mobile agent technology, which allows information to be transported asynchronously and reliably from terminal to terminal and not requiring any network infrastructure at all. This novel approach is ready to be used in the worst case scenario, where only small handheld devices carried by the emergency personnel are available, but also integrates well when synchronous connections are possible, for instance when a mesh network can be created. The system has been successfully implemented, showing the feasibility of the proposal. By using this low budget system, the number of casualties during the triage stage of an emergency is expected to drop off."
"F Khomh, B Chan, Y Zou ",2011,An entropy evaluation approach for triaging field crashes: A case study of mozilla firefox,48,"A crash is an unexpected termination of an application during normal execution. Crash reports record stack traces and run time information once a crash occurs. A group of similar crash reports represents a crash type. The triaging of crash types is critical to shorten the development and maintenance process. Crash triaging process decides the priority of crash types to be fixed. The decision typically depends on many factors, such as the impact of the crash type,  i.e, its severity , the frequency of occurring, and the effort required to implement a fix for the crash type. In this paper, we propose the use of entropy region graphs to triage crash types. An entropy region graph captures the distribution of the occurrences of crash types among the users of a system. We conduct an empirical study on crash reports and bugs, collected from 10 beta releases of Fire fox 4. We show that our proposed triaging technique enables a better classification of crash types than the current triaging used by Fire fox teams. Developers and managers could use such a technique to prioritize crash types during triage, to estimate developer workloads, and to decide which crash types patches should be included in a next release."
"A Sarkar, PC Rigby, B Bartalos",2019,Improving Bug Triaging with High Confidence Predictions at Ericsson,1,"Correctly assigning bugs to the right developer or team, i.e. bug triaging, is a costly activity. A concerted effort at Ericsson has been done to adopt automated bug triaging to reduce development costs. In this work, we replicate the research approaches that have been widely used in the literature. We apply them on over 10k bug reports for 9 large products at Ericsson. We find that a logistic regression classifier including the simple textual and categorical attributes of the bug reports has the highest precision and recall of 78.09  and 79.00 , respectively. Ericsson s bug reports often contain logs that have crash dumps and alarms. We add this information to the bug triage models. We find that this information does not improve the precision and recall of bug triaging in Ericsson s context. Although our models perform as well as the best ones reported in the literature, a criticism of bug triaging at Ericsson is that the accuracy is not sufficient for regular use. We develop a novel approach where we only triage bugs when the model has high confidence in the triage prediction. We find that we improve the accuracy to 90 , but we can make predictions for 62  of the bug reports."
"H Schackmann, H Lichter",2009,Evaluating process quality in GNOME based on change request data,15,"The lifecycle of defects reports and enhancement requests collected in the Bugzilla database of the GNOME project provides valuable information on the evolution of the change request process and for the assessment of process quality in the GNOME sub projects. We present a quality model for the analysis of quality characteristics that is based on evaluating metrics on the Bugzilla database, and illustrate it with a comparative evaluation for 25 of the largest products within GNOME."
"Y Yin, X Dong, T Xu",2018,Rapid and Efficient Bug Assignment Using ELM for IOT Software,0,"The reliable implementation of software in an Internet system directly influences information transmission especially for the Internet of Things  IoT  system. Once defects in the system are found, the communication between things and things and the interaction between people and things in the IoT will be greatly affected. Therefore, rapid and effective defect assignment to the right developer is the key to ensuring software quality and bringing down time consumption in the IoT software life cycle. However, as the size of the software becomes increasing larger, the requirement of users grows, and a large number of software bugs will be found every day. It is difficult for managers to assign the software defects to the appropriate developers. In this paper, a novel hybrid method based on a diversified feature selection and an ensemble extreme learning machine  ELM  is proposed. First, the useful information is extracted from defect reports  then, the data are preprocessed to establish a vector space model  and the diversified feature selection is preprocessed in order to select a smallest set of representative non redundant features with maximal statistical information. Finally, an ensemble GA based ELM training classifier is used. Experimental results show that, compared to SVM, C4.5, NaiveBayes, and KNN classifiers, the proposed ELM based bug triage approach with representative feature selection techniques in this paper significantly improves the efficiency and the effectiveness of bug triages."
"N Imtiaz, L Williams",2019,A synopsis of static analysis alerts on open source software,1,"Static application security testing  SAST  tools detect potential code defects  alerts  without having to execute the code. SASTs are now widely used in practice by both commercial and open source software  OSS . Prior work found that half of the state of the art OSS projects have already employed automated static analysis  1 . However, little public information is available regarding the actionability  important to developers to act upon  of SAST alerts."
"X Xia, D Lo, E Shihab, X Wang, B Zhou",2015,"Automatic, high accuracy prediction of reopened bugs",42,"Bug fixing is one of the most time consuming and costly activities of the software development life cycle. In general, bugs are reported in a bug tracking system, validated by a triage team, assigned for someone to fix, and finally verified and closed. However, in some cases bugs have to be reopened. Reopened bugs increase software maintenance cost, cause rework for already busy developers and in some cases even delay the future delivery of a software release. Therefore, a few recent studies focused on studying reopened bugs. However, these prior studies did not achieve high performance  in terms of precision and recall , required manual intervention, and used very simplistic techniques when dealing with this textual data, which leads us to believe that further improvements are possible. In this paper, we propose ReopenPredictor, which is an automatic, high accuracy predictor of reopened bugs. ReopenPredictor uses a number of features, including textual features, to achieve high accuracy prediction of reopened bugs. As part of ReopenPredictor, we propose two algorithms that are used to automatically estimate various thresholds to maximize the prediction performance. To examine the benefits of ReopenPredictor, we perform experiments on three large open source projects namely Eclipse, Apache HTTP and OpenOffice. Our results show that ReopenPredictor outperforms prior work, achieving a reopened F measure of 0.744, 0.770, and 0.860 for Eclipse, Apache HTTP and OpenOffice, respectively. These results correspond to an improvement in the reopened F measure of the method proposed in the prior work by Shihab et al. by 33.33, 12.57 and 3.12  for Eclipse, Apache HTTP and OpenOffice, respectively."
"TW Thomas, M Tabassum, B Chu ",2018,Security during application development: An application security expert perspective,11,"Many of the security problems that people face today, such as security breaches and data theft, are caused by security vulnerabilities in application source code. Thus, there is a need to understand and improve the experiences of those who can prevent such vulnerabilities in the first place   software developers as well as application security experts. Several studies have examined developers  perceptions and behaviors regarding security vulnerabilities, demonstrating the challenges they face in performing secure programming and utilizing tools for vulnerability detection. We expand upon this work by focusing on those primarily responsible for application security   security auditors. In an interview study of 32 application security experts, we examine their views on application security processes, their workflows, and their interactions with developers in order to further inform the design of tools and processes to improve application security."
"JL Greathouse, T Austin",2011,The potential of sampling for dynamic analysis,3,"This paper presents an argument for distributing dynamic software analyses to large populations of users in order to locate bugs that cause security flaws. We review a collection of dynamic analysis systems and show that, despite a great deal of effort from the research community, their performance is still too low to allow their use in the field. We then show that there are effective sampling mechanisms for accelerating a wide range of powerful dynamic analyses. These mechanisms reduce the rate at which errors are observed by individual analyses, but this loss can be offset by the subsequent increase in test population. Nevertheless, there are unsolved issues in this domain that deserve attention if this technique is to be widely utilized."
"S Park, D Kim, S Son",2019,An Empirical Study of Prioritizing JavaScript Engine Crashes via Machine Learning,0,"The early discovery of security bugs in JavaScript  JS  engines is crucial for protecting Internet users from adversaries abusing zero day vulnerabilities. Browser vendors, bug bounty hunters, and security researchers have been eager to find such security bugs by leveraging state of the art fuzzers as well as their domain expertise. They report a bug when observing a crash after executing their JS test since a crash is an early indicator of a potential bug. However, it is difficult to identify whether such a crash indeed invokes security bugs in JS engines. Thus, unskilled bug reporters are unable to assess the security severity of their new bugs with JS engine crashes. Today, this classification of a reported security bug is completely manual, depending on the verdicts from JS engine vendors. We investigated the feasibility of applying various machine learning classifiers to determine whether an observed crash triggers a security bug. We designed and implemented CRScope, which classifies security and non security bugs from given crash dump files. Our experimental results on 766 crash instances demonstrate that CRScope achieved 0.85, 0.89, and 0.93 Area Under Curve  AUC  for Chakra, V8, and SpiderMonkey crashes, respectively. CRScope also achieved 0.84, 0.89, and 0.95 precision for Chakra, V8, and SpiderMonkey crashes, respectively. This outperforms the previous study and existing tools including Exploitable and AddressSanitizer. CRScope is capable of learning domain specific expertise from the past verdicts on reported bugs and automatically classifying JS engine security bugs, which helps improve the scalable classification of security bugs."
"L Wu, M Grace, Y Zhou, C Wu, X Jiang",2013,The impact of vendor customizations on android security,169,"The smartphone market has grown explosively in recent years, as more and more consumers are attracted to the sensor studded multipurpose devices. Android is particularly ascendant  as an open platform, smartphone manufacturers are free to extend and modify it, allowing them to differentiate themselves from their competitors. However, vendor customizations will inherently impact overall Android security and such impact is still largely unknown. In this paper, we analyze ten representative stock Android images from five popular smartphone vendors  with two models from each vendor . Our goal is to assess the extent of security issues that may be introduced from vendor customizations and further determine how the situation is evolving over time. In particular, we take a three stage process: First, given a smartphone s stock image, we perform provenance analysis to classify each app in the image into three categories: apps originating from the AOSP, apps customized or written by the vendor, and third party apps that are simply bundled into the stock image. Such provenance analysis allows for proper attribution of detected security issues in the examined Android images. Second, we analyze permission usages of pre loaded apps to identify overprivileged ones that unnecessarily request more Android permissions than they actually use. Finally, in vulnerability analysis, we detect buggy pre loaded apps that can be exploited to mount permission re delegation attacks or leak private information. Our evaluation results are worrisome: vendor customizations are significant on stock Android devices and on the whole responsible for the bulk of the security problems we detected in each device. Specifically, our results show that on average 85.78  of all pre loaded apps in examined stock images are overprivileged with a majority of them directly from vendor customizations. In addition, 64.71  to 85.00  of vulnerabilities we detected in examined images from every vendor  except for Sony  arose from vendor customizations. In general, this pattern held over time   newer smartphones, we found, are not necessarily more secure than older ones."
"K Herzig, S Just, A Zeller",2013,"It s not a bug, it s a feature: how misclassification impacts bug prediction",280,"In a manual examination of more than 7,000 issue reports from the bug databases of five open source projects, we found 33.8  of all bug reports to be misclassified   that is, rather than referring to a code fix, they resulted in a new feature, an update to documentation, or an internal refactoring. This misclassification introduces bias in bug prediction models, confusing bugs and features: On average, 39  of files marked as defective actually never had a bug. We discuss the impact of this misclassification on earlier studies and recommend manual data validation for future studies."
